Intermediate,RM_Code,RM_Qty_Per_Batch
0Q110,5SN,1.0
0Q120,7EP,1.0
0T150,OLJ,1.0
0T160,9RJ,1.0
0T410,OLJ,1.0
0T420,OLJ,1.0
0T470,OLJ,1.0
0T480,1EK,1.0
0T490,OLJ,1.0
0T500,5JK,1.0
0T690,1EK,1.0
0T720,1EK,1.0
0T740,1EK,1.0
0T750,1EK,1.0
0T860,1EK,1.0
0T870,1EK,1.0
0T880,1EK,1.0
0TA30,TDJ,1.0
0TA40,1EK,1.0
0W750,OLJ,1.0
0W780,OLJ,1.0
0Y460,1JN,1.0
F0220,7CL,1.0
F2090,OJN,1.0
F2100,7CL,1.0
F2180,7CL,1.0
F2210,7CL,1.0
F2290,3TP,1.0
F2350,7CL,1.0
F3060,4HL,1.0
K0030,4HL,1.0
K0050,9RN,1.0
SOL-10H,CHEM-1050,16.11
SOL-10H,CHEM-1100,7.7775
SOL-10H,CHEM-1170,3000.0
SOL-10H,CHEM-1190,0.9
SOL-10H,CHEM-1200,3000.0
SOL-10H,CHEM-1620,1.11
SOL-10H VW,CHEM-1050,16.11
SOL-10H VW,CHEM-1100,7.7775
SOL-10H VW,CHEM-1190,0.9
SOL-10H VW,CHEM-1200,3000.0
SOL-10H VW,CHEM-1620,1.11
SOL-10H VW,CHEM-1630,3000.0
SOL-20P,CHEM-1010,4.874
SOL-20P,CHEM-1020,25.380000000000003
SOL-20P,CHEM-1050,4.324
SOL-20P,CHEM-1090,8121.8279999999995
SOL-20P,CHEM-1620,7.106
SOL-250D,CHEM-1030,47.99992984693092
SOL-250D,CHEM-1180,9000.0
SOL-250D,CHEM-1280,69.2300023753583
SOL-250D,CHEM-1310,9.899890339676235
SOL-85D,CHEM-1030,57.00002769120005
SOL-85D,CHEM-1180,9000.0
SOL-85D,CHEM-1280,115.00039998400065
SOL-SCH,CHEM-1030,0.51
SOL-SCH,CHEM-1050,21.63
SOL-SCH,CHEM-1100,5.3999999999999995
SOL-SCH,CHEM-1170,3000.0
SOL-SCH,CHEM-1810,95.75999999999999
SOL-SH,CHEM-1050,16.666937115388897
SOL-SH,CHEM-1100,7.777602090933414
SOL-SH,CHEM-1170,3000.0
SOL-SH,CHEM-1500,16.999777728887356
TPP-103,CHEM-1110,23.4984075
TPP-103,CHEM-1180,2480.3574405
TPP-103,CHEM-1220,45.0973575
TPP-1367,CHEM-1030,0.03508736624
TPP-1367,CHEM-1050,1.48811712112
TPP-1367,CHEM-1100,0.3715132896
TPP-1367,CHEM-1170,206.396272
TPP-1367,CHEM-1800,26.788945199999997
TPP-1367,CHEM-1810,6.58816900224
TPP-1367,SOL-SCH,20.6396272
TPP-1368,CHEM-1030,0.031706667019999996
TPP-1368,CHEM-1050,1.3447357012599999
TPP-1368,CHEM-1100,0.3357176508
TPP-1368,CHEM-1170,186.50980599999997
TPP-1368,CHEM-1800,28.0809613
TPP-1368,CHEM-1810,5.953393007519999
TPP-1368,SOL-SCH,18.650980599999997
TPP-1369,CHEM-1030,0.018284666879999995
TPP-1369,CHEM-1050,0.7754849894399999
TPP-1369,CHEM-1100,0.19360235519999996
TPP-1369,CHEM-1170,107.55686399999999
TPP-1369,CHEM-1800,31.1417856
TPP-1369,CHEM-1810,3.4332150988799994
TPP-1369,SOL-SCH,10.755686399999998
TPP-1378,CHEM-1030,0.019487427079999998
TPP-1378,CHEM-1050,0.8264961720399999
TPP-1378,CHEM-1100,0.20633746319999996
TPP-1378,CHEM-1170,114.631924
TPP-1378,CHEM-1800,19.4358406
TPP-1378,CHEM-1810,3.659051014079999
TPP-1378,SOL-SCH,11.463192399999999
TPP-1379,CHEM-1030,0.009981266099999997
TPP-1379,CHEM-1050,0.42332310929999994
TPP-1379,CHEM-1100,0.10568399399999998
TPP-1379,CHEM-1170,58.71332999999999
TPP-1379,CHEM-1800,19.909727500000002
TPP-1379,CHEM-1810,1.8741294935999995
TPP-1379,SOL-SCH,5.871332999999999
TPP-1459,CHEM-1030,0.0144855
TPP-1459,CHEM-1050,0.618048
TPP-1459,CHEM-1100,0.154512
TPP-1459,CHEM-1170,85.70051
TPP-1459,CHEM-1410,21.49219
TPP-1459,CHEM-1810,2.7356135
TPP-1459,CHEM-1820,32.627784
TPP-1466,CHEM-1030,0.013422
TPP-1466,CHEM-1050,0.5798304
TPP-1466,CHEM-1100,0.1449576
TPP-1466,CHEM-1170,80.438046
TPP-1466,CHEM-1410,26.8950036
TPP-1466,CHEM-1810,2.5676286
TPP-1466,CHEM-1820,40.8303951
TPP-190,CHEM-1180,713.3663295
TPP-190,CHEM-1410,18.550713499999997
TPP-190,CHEM-1460,53.920058499999996
TPP-204,CHEM-1180,772.8070329999999
TPP-204,CHEM-1220,13.660786
TPP-204,CHEM-1410,29.842553499999998
TPP-350,CHEM-1180,904.9336447
TPP-350,CHEM-1490,53.766630799999994
TPP-350,CHEM-1520,49.81435
TPP-356,CHEM-1180,2110.893939
TPP-356,CHEM-1220,46.484221999999995
TPP-356,CHEM-1410,41.428949
TPP-358,CHEM-1050,1.6437154221599999
TPP-358,CHEM-1100,0.7670374236
TPP-358,CHEM-1170,295.86397502676004
TPP-358,CHEM-1500,1.67654060448
TPP-358,CHEM-1540,65.14639600000001
TPP-358,SOL-SH,11.165028000000001
TPP-527,CHEM-1180,829.920441
TPP-527,CHEM-1490,50.3156535
TPP-527,CHEM-1520,65.26396799999999
TPP-533,CHEM-1050,1.9943226403265302
TPP-533,CHEM-1100,0.9306477746938774
TPP-533,CHEM-1170,358.9722502435918
TPP-533,CHEM-1500,2.03414948832653
TPP-533,CHEM-1540,59.28375102040815
TPP-533,SOL-SH,13.546546938775508
TPP-537,CHEM-1180,352.2772242
TPP-537,CHEM-1490,35.880651
TPP-609,CHEM-1180,651.2911708
TPP-609,CHEM-1710,42.723245600000006
TPP-611,CHEM-1050,1.1224099910399998
TPP-611,CHEM-1100,0.5237709984
TPP-611,CHEM-1170,202.03052005344
TPP-611,CHEM-1500,1.14482464512
TPP-611,CHEM-1680,18.224726399999998
