Intermediate,Type,PGM,Batch_Size
TSP-049,Slurry,Pt,153.7
TSP-050,Slurry,Rh,101.5015
TSP-067,Slurry,Pt,102.2
TSP-069,Slurry,Pt,105.2079
TSP-078,Slurry,Rh,67.5
TSP-080,Slurry,Rh,80.15
TSP-104,Slurry,Pd,81.796
TSP-105,Slurry,Rh,96
TSP-1388,Slurry,Pd,115.5
TSP-1444,Slurry,Rh,129.3168
TSP-1445,Slurry,Rh,133.875
TSP-1446,Slurry,Rh,150.875
TSP-1448,Slurry,Rh,62.9993
TSP-1449,Slurry,Rh,64.5
TSP-199,Slurry,Pd,79.92615
TSP-205,Slurry,Pd,55.5814
TSP-206,Slurry,Rh,77.688
TSP-224,Slurry,Pt,108
TSP-225,Slurry,Rh,84.24
TSP-360,Slurry,Pd,119.994
TSP-367,Slurry,Pd,97.608
TSP-369,Slurry,Rh,91.9416
TSP-402,Slurry,Rh,82.5
TSP-403,Slurry,Rh,82.5
TSP-404,Slurry,Rh,76.5
TSP-405,Slurry,Rh,76.5
TSP-544,Slurry,Pd,133.1655
TSP-558,Slurry,Rh & Pd,118.27908
TSP-618,Slurry,Pd,96.9606
TSP-620,Slurry,Rh,69
TSP-623,Slurry,Rh,69
TSP-655,Slurry,Rh,117.48
TSP-656,Slurry,Pd,66
TSP-668,Slurry,Pt,123.754
TSP-669,Slurry,Pt,114.9
TSP-670,Slurry,Pt,117.15
TSP-710,Slurry,Pd,143.7492
TSP-828,Slurry,Pt,88.74
TSP-903,Slurry,Rh,90.0055
TSP-924,Slurry,Pd,110.99685
TSP-925,Slurry,Pd,111.0003
TSP-927,Slurry,Rh,127.5
TSP-928,Slurry,Rh,125.9986
TSP-929,Slurry,Rh,129
TSP-930,Slurry,Rh,129
TSP-934,Slurry,Rh,81
TSP-935,Slurry,Rh,83.99875
TSP-936,Slurry,Rh,82.5
TSP-937,Slurry,Rh,82.5
TSP-959,Slurry,Rh,81.6425
TSP-966,Slurry,Pd,48
TSZ-616,Slurry,,40
TSZ-938,Slurry,,65
TVS-267,Slurry,Pd,301.99999999999994
TVS-500,Slurry,Pd,303
TVS-664,Slurry,Pd,323
TVS-833,Slurry,Pd,300
VSP-600,Slurry,Pd-VW,112
VSP-601,Slurry,Pd-VW,104.895
VSP-602,Slurry,Rh-VW,105.6
VSP-820,Slurry,Pd-VW,134.97
VSP-822,Slurry,Rh-VW,113.85
VSP-910,Slurry,Rh-VW,91.8
VSP-989,Slurry,Pd-VW,94.5
VSP-990,Slurry,Rh-VW,81
TPP-103,Powder,Pd,69.45
TPP-1367,Powder,SCH,26.54
TPP-1368,Powder,Rh,27.79
TPP-1369,Powder,Rh,30.72
TPP-1378,Powder,Rh,19.22
TPP-1379,Powder,Rh,19.63
TPP-190,Powder,Pd,72.05
TPP-204,Powder,Pd,44.05
TPP-350,Powder,Pd,102.71
TPP-356,Powder,Pd,89.3
TPP-358,Powder,Rh,64.4
TPP-527,Powder,Pd,114.45
TPP-533,Powder,Rh,58.6938775510204
TPP-537,Powder,Pd,35.58
TPP-609,Powder,Pd,42.52
TPP-611,Powder,Rh,17.88
TPP-613,Powder,Rh,17.82
TPP-635,Powder,Rh,44.26
TPP-649,Powder,Rh,32.24
TPP-650,Powder,Pd,58.21
TPP-699,Powder,Pt,38.85
TPP-700,Powder,Pt,36.03
TPP-701,Powder,Pt,36.61
TPP-704,Powder,Pd,123.03
TPP-825,Powder,Pt,29.82
TPP-911,Powder,Pd,52.15
TPP-912,Powder,Pd,51.73
TPP-914,Powder,Rh,25.69
TPP-915,Powder,Rh,25.35
TPP-916,Powder,Rh,25.91
TPP-917,Powder,Rh,25.89
TPP-919,Powder,Rh,17.44
TPP-920,Powder,Rh,18.05
TPP-922,Powder,Rh,17.69
TPP-923,Powder,Rh,17.67
TPP-968,Powder,Rh,22.38
TPP-970,Powder,Pd,38.27
SOL-10H,Solution,Rh,250
SOL-10H VW,Solution,Rh,250
SOL-20P,Solution,Pt,200
SOL-250D,Solution,Pd,69.2300023753583
SOL-85D,Solution,Pd,115.38000018460801
SOL-SCH,Solution,Rh,300
SOL-SH,Solution,Rh,113.21109302668725
20p,Unknown,,1
TPP-1459,Powder,,1
TPP-1466,Powder,,1
TPP-2245,Powder,,1
TPP-378,Powder,,1
TPP-533(98%),Powder,,1
TPP-533(A),Powder,,1
TSP-070,Slurry,,1
TSP-077,Slurry,,1
TSP-088,Slurry,,1
TSP-089,Slurry,,1
TSP-1499,Slurry,,1
TSP-1558,Slurry,,1
TSP-1559,Slurry,,1
TSP-2157,Slurry,,1
TSP-2168,Slurry,,1
TSP-218,Slurry,,1
TSP-219,Slurry,,1
TSP-390,Slurry,,1
TSP-399,Slurry,,1
TSP-699,Slurry,,1
TSP-WACZ,Slurry,,1
VSP-1000,Unknown,,1
VSP-567,Unknown,,1
VSP-603,Unknown,,1
VSP-604,Unknown,,1
VSP-605,Unknown,,1
VSP-606,Unknown,,1
VSP-607,Unknown,,1
VSP-738,Unknown,,1
VSP-739,Unknown,,1
VSP-740,Unknown,,1
VSP-746,Unknown,,1
VSP-869,Unknown,,1
VSP-870,Unknown,,1
VSP-999,Unknown,,1
VSZ-745,Unknown,,1
