Intermediate,Week,WeekStart,Qty
TSP-049,19,2026-05-04 00:00:00,0
TSP-049,20,2026-05-11 00:00:00,0
TSP-049,21,2026-05-18 00:00:00,0
TSP-049,22,2026-05-25 00:00:00,0
TSP-049,23,2026-06-01 00:00:00,0
TSP-049,24,2026-06-08 00:00:00,0
TSP-049,25,2026-06-15 00:00:00,0
TSP-049,26,2026-06-22 00:00:00,0
TSP-049,27,2026-06-29 00:00:00,0
TSP-049,28,2026-07-06 00:00:00,0
TSP-049,29,2026-07-13 00:00:00,0
TSP-049,30,2026-07-20 00:00:00,0
TSP-049,31,2026-07-27 00:00:00,0
TSP-049,32,2026-08-03 00:00:00,0
TSP-049,33,2026-08-10 00:00:00,0
TSP-049,34,2026-08-17 00:00:00,0
TSP-049,35,2026-08-24 00:00:00,0
TSP-050,19,2026-05-04 00:00:00,0
TSP-050,20,2026-05-11 00:00:00,0
TSP-050,21,2026-05-18 00:00:00,0
TSP-050,22,2026-05-25 00:00:00,0
TSP-050,23,2026-06-01 00:00:00,0
TSP-050,24,2026-06-08 00:00:00,0
TSP-050,25,2026-06-15 00:00:00,0
TSP-050,26,2026-06-22 00:00:00,0
TSP-050,27,2026-06-29 00:00:00,0
TSP-050,28,2026-07-06 00:00:00,0
TSP-050,29,2026-07-13 00:00:00,0
TSP-050,30,2026-07-20 00:00:00,0
TSP-050,31,2026-07-27 00:00:00,0
TSP-050,32,2026-08-03 00:00:00,0
TSP-050,33,2026-08-10 00:00:00,0
TSP-050,34,2026-08-17 00:00:00,0
TSP-050,35,2026-08-24 00:00:00,0
TSP-067,19,2026-05-04 00:00:00,0
TSP-067,20,2026-05-11 00:00:00,0
TSP-067,21,2026-05-18 00:00:00,0
TSP-067,22,2026-05-25 00:00:00,0
TSP-067,23,2026-06-01 00:00:00,0
TSP-067,24,2026-06-08 00:00:00,0
TSP-067,25,2026-06-15 00:00:00,0
TSP-067,26,2026-06-22 00:00:00,0
TSP-067,27,2026-06-29 00:00:00,0
TSP-067,28,2026-07-06 00:00:00,0
TSP-067,29,2026-07-13 00:00:00,0
TSP-067,30,2026-07-20 00:00:00,0
TSP-067,31,2026-07-27 00:00:00,0
TSP-067,32,2026-08-03 00:00:00,0
TSP-067,33,2026-08-10 00:00:00,0
TSP-067,34,2026-08-17 00:00:00,0
TSP-067,35,2026-08-24 00:00:00,0
TSP-069,19,2026-05-04 00:00:00,0
TSP-069,20,2026-05-11 00:00:00,0
TSP-069,21,2026-05-18 00:00:00,0
TSP-069,22,2026-05-25 00:00:00,0
TSP-069,23,2026-06-01 00:00:00,0
TSP-069,24,2026-06-08 00:00:00,0
TSP-069,25,2026-06-15 00:00:00,0
TSP-069,26,2026-06-22 00:00:00,0
TSP-069,27,2026-06-29 00:00:00,0
TSP-069,28,2026-07-06 00:00:00,0
TSP-069,29,2026-07-13 00:00:00,0
TSP-069,30,2026-07-20 00:00:00,0
TSP-069,31,2026-07-27 00:00:00,0
TSP-069,32,2026-08-03 00:00:00,0
TSP-069,33,2026-08-10 00:00:00,0
TSP-069,34,2026-08-17 00:00:00,0
