RM_Code,Date,Self_Qty
CHEM-1010,2026-05-26,0
CHEM-1010,2026-06-01,0
CHEM-1020,2026-05-26,0
CHEM-1020,2026-06-01,0
CHEM-1030,2026-05-26,168
CHEM-1030,2026-06-01,168
CHEM-1040,2026-05-26,160
CHEM-1040,2026-06-01,160
CHEM-1050,2026-05-26,306
CHEM-1050,2026-06-01,272
CHEM-1080,2026-05-26,0
CHEM-1080,2026-06-01,0
CHEM-1100,2026-05-26,365
CHEM-1100,2026-06-01,365
CHEM-1110,2026-05-26,250
CHEM-1110,2026-06-01,250
CHEM-1120,2026-05-26,5
CHEM-1120,2026-06-01,5
CHEM-1190,2026-05-26,12.5
CHEM-1190,2026-06-01,10
CHEM-1200,2026-05-26,5528
CHEM-1200,2026-06-01,50000
CHEM-1220,2026-05-26,465
CHEM-1220,2026-06-01,465
CHEM-1240,2026-05-26,440
CHEM-1240,2026-06-01,620
CHEM-1250,2026-05-26,275
CHEM-1250,2026-06-01,250
CHEM-1260,2026-05-26,360
CHEM-1260,2026-06-01,280
CHEM-1280,2026-05-26,1000
CHEM-1280,2026-06-01,756
CHEM-1310,2026-05-26,0
CHEM-1310,2026-06-01,0
CHEM-1400,2026-05-26,300
CHEM-1400,2026-06-01,300
CHEM-1410,2026-05-26,650
CHEM-1410,2026-06-01,650
CHEM-1420,2026-05-26,435
CHEM-1420,2026-06-01,380
CHEM-1430,2026-05-26,15
CHEM-1430,2026-06-01,15
CHEM-1440,2026-05-26,350
CHEM-1440,2026-06-01,323
CHEM-1450,2026-05-26,0
CHEM-1450,2026-06-01,0
CHEM-1460,2026-05-26,0
CHEM-1460,2026-06-01,0
CHEM-1470,2026-05-26,0
CHEM-1470,2026-06-01,0
CHEM-1480,2026-05-26,0
CHEM-1480,2026-06-01,0
CHEM-1490,2026-05-26,750
CHEM-1490,2026-06-01,650
CHEM-1500,2026-05-26,17.679
CHEM-1500,2026-06-01,17.679
CHEM-1510,2026-05-26,94
CHEM-1510,2026-06-01,88
CHEM-1520,2026-05-26,2200
CHEM-1520,2026-06-01,1550
CHEM-1530,2026-05-26,2600
CHEM-1530,2026-06-01,3000
CHEM-1540,2026-05-26,2300
CHEM-1540,2026-06-01,2800
CHEM-1550,2026-05-26,0
CHEM-1550,2026-06-01,0
CHEM-1560,2026-05-26,7
CHEM-1560,2026-06-01,7
CHEM-1570,2026-05-26,72
CHEM-1570,2026-06-01,86
CHEM-1580,2026-05-26,240
CHEM-1580,2026-06-01,240
CHEM-1600,2026-05-26,150
CHEM-1600,2026-06-01,450
CHEM-1610,2026-05-26,850
CHEM-1610,2026-06-01,850
CHEM-1620,2026-05-26,65
CHEM-1620,2026-06-01,60
CHEM-1650,2026-05-26,16.43
CHEM-1650,2026-06-01,16.43
CHEM-1660,2026-05-26,258
CHEM-1660,2026-06-01,265
CHEM-1670,2026-05-26,200
CHEM-1670,2026-06-01,340
CHEM-1680,2026-05-26,420
CHEM-1680,2026-06-01,250
CHEM-1690,2026-05-26,240
CHEM-1690,2026-06-01,140
CHEM-1700,2026-05-26,83
CHEM-1700,2026-06-01,58
CHEM-1710,2026-05-26,0
CHEM-1710,2026-06-01,0
CHEM-1720,2026-05-26,840
CHEM-1720,2026-06-01,960
CHEM-1730,2026-05-26,350
CHEM-1730,2026-06-01,350
CHEM-1740,2026-05-26,1000
CHEM-1740,2026-06-01,1000
CHEM-1750,2026-05-26,1510
CHEM-1750,2026-06-01,1500
CHEM-1760,2026-05-26,19.98
CHEM-1760,2026-06-01,17.93
CHEM-1770,2026-05-26,15
CHEM-1770,2026-06-01,15
CHEM-1780,2026-05-26,4
CHEM-1780,2026-06-01,4
CHEM-1790,2026-05-26,1950
CHEM-1790,2026-06-01,1750
CHEM-1800,2026-05-26,3900
CHEM-1800,2026-06-01,3850
CHEM-1810,2026-05-26,182.28
CHEM-1810,2026-06-01,292.37
CHEM-1820,2026-05-26,300
CHEM-1820,2026-06-01,300
CHEM-1830,2026-05-26,35
CHEM-1830,2026-06-01,35
CHEM-1840,2026-05-26,30
CHEM-1840,2026-06-01,30
CHEM-1850,2026-05-26,0
CHEM-1850,2026-06-01,0
CHEM-1870,2026-05-26,150
CHEM-1870,2026-06-01,150
