RM_Code,PO_No,Confirmed_Qty,Latest_ETA,Received_Date,Status
CHEM-1250,PO064367,50,2025-03-13,2025-03-17,TTAF Stock
CHEM-1670,PO064367,180,2025-03-13,2025-03-17,TTAF Stock
CHEM-1700,PO064367,30,2025-03-13,2025-03-17,TTAF Stock
CHEM-1420,PO064367,160,2025-03-13,2025-03-17,TTAF Stock
CHEM-1530,PO064367,1400,2025-03-13,2025-03-17,TTAF Stock
CHEM-1540,PO064367,2500,2025-03-13,2025-03-17,TTAF Stock
CHEM-1690,PO064367,135,2025-03-13,2025-03-17,TTAF Stock
CHEM-1720,PO064367,1680,2025-03-13,2025-03-17,TTAF Stock
CHEM-1440,PO064367,100,2025-03-13,2025-03-17,TTAF Stock
PET FILM(900*1000),PO064367,10000,2025-03-13,2025-03-17,TTAF Stock
4HL,PO064353,6720,2025-04-13,2025-04-16,TTAF Stock
4HL,PO064353,5280,2025-03-25,2025-04-01,TTAF Stock
4HL,PO064353,6720,2025-03-30,2025-04-04,TTAF Stock
4HL,PO064353,480,2025-04-23,2025-04-30,TTAF Stock
4HL,PO064353,1920,2025-04-07,2025-04-15,TTAF Stock
1EK,PO064353,2880,2025-04-13,2025-04-16,TTAF Stock
1EK,PO064353,2880,2025-03-25,2025-04-01,TTAF Stock
1EK,PO064353,2880,2025-03-30,2025-04-04,TTAF Stock
1EK,PO064353,2880,2025-04-07,2025-04-15,TTAF Stock
7CL,PO064353,1620,2025-03-25,2025-04-01,TTAF Stock
9RN,PO064366,13453,2025-03-25,2025-04-04,TTAF Stock
9RN,PO064366,10428,2025-03-25,2025-04-04,TTAF Stock
9RN,PO064366,319,2025-04-25,2025-04-30,TTAF Stock
7EP,PO064366,3240,2025-03-25,2025-04-04,TTAF Stock
F2290,PO064366,4752,2025-03-25,2025-04-04,TTAF Stock
CHEM-1250,PO064582 & PO064592,50,2025-04-09,2025-04-11,TTAF Stock
CHEM-1400,PO064582 & PO064592,250,2025-04-09,2025-04-11,TTAF Stock
CHEM-1570,PO064582 & PO064592,36,2025-04-09,2025-04-11,TTAF Stock
CHEM-1650,PO064582 & PO064592,25,2025-04-09,2025-04-11,TTAF Stock
CHEM-1670,PO064582 & PO064592,180,2025-04-09,2025-04-11,TTAF Stock
CHEM-1700,PO064582 & PO064592,60,2025-04-09,2025-04-11,TTAF Stock
CHEM-1660,PO064582 & PO064592,75,2025-04-07,2025-04-16,TTAF Stock
