RM_Code,Date,TTAF_Qty
CHEM-1010,2026-05-29,0
CHEM-1020,2026-05-29,0
CHEM-1080,2026-05-29,0
CHEM-1100,2026-05-29,0
CHEM-1110,2026-05-29,0
CHEM-1120,2026-05-29,0
CHEM-1130,2026-05-29,0
CHEM-1200,2026-05-29,25
CHEM-1240,2026-05-29,880
CHEM-1250,2026-05-29,0
CHEM-1280,2026-05-29,0
CHEM-1400,2026-05-29,0
CHEM-1410,2026-05-29,0
CHEM-1420,2026-05-29,160
CHEM-1430,2026-05-29,0
CHEM-1440,2026-05-29,200
CHEM-1450,2026-05-29,0
CHEM-1470,2026-05-29,0
CHEM-1480,2026-05-29,0
CHEM-1500,2026-05-29,0
CHEM-1510,2026-05-29,190
CHEM-1520,2026-05-29,0
CHEM-1530,2026-05-29,2100
CHEM-1540,2026-05-29,3000
CHEM-1550,2026-05-29,0
CHEM-1560,2026-05-29,0
CHEM-1570,2026-05-29,36
CHEM-1580,2026-05-29,0
CHEM-1600,2026-05-29,100
CHEM-1650,2026-05-29,25
CHEM-1660,2026-05-29,270
CHEM-1670,2026-05-29,0
CHEM-1680,2026-05-29,0
CHEM-1690,2026-05-29,0
CHEM-1700,2026-05-29,60
CHEM-1720,2026-05-29,1440
CHEM-1730,2026-05-29,100
CHEM-1740,2026-05-29,0
CHEM-1750,2026-05-29,0
CHEM-1760,2026-05-29,17
CHEM-1780,2026-05-29,20
CHEM-1810,2026-05-29,636.5999999999999
CHEM-1820,2026-05-29,500
CHEM-1830,2026-05-29,225
CHEM-1840,2026-05-29,18
